hid,atmosphere,cleanliness,facilities,location,security,staff,score
150,9.0,7.3,8.0,9.7,9.0,9.3,8.7
151,9.3,9.5,8.7,9.8,9.8,9.8,9.5
152,9.0,9.0,9.0,8.3,9.3,9.3,9.0
153,8.9,9.6,9.0,8.4,8.5,9.0,8.9
154,8.9,9.8,9.1,7.9,9.0,9.2,9.1
155,8.1,9.1,8.7,9.5,8.2,9.2,8.8
156,7.8,9.3,7.8,9.1,9.0,9.1,8.7
157,8.4,9.6,8.8,8.8,9.6,10.0,9.3
158,6.0,6.0,6.0,8.0,5.0,7.0,6.4
159,8.5,9.1,9.2,8.5,9.3,9.3,8.9
16,8.8,9.1,9.0,9.2,9.3,9.3,9.1
160,5.4,5.1,6.0,8.0,6.3,7.4,6.4
161,9.3,7.3,8.0,9.3,8.0,9.3,8.7
162,7.0,7.0,9.0,9.0,8.0,8.0,8.1
163,4.8,7.3,6.0,7.8,8.3,6.3,6.6
164,6.0,7.3,6.0,6.7,6.0,7.3,6.5
165,7.3,8.0,8.0,8.7,8.7,8.0,8.1
166,4.0,4.0,6.0,6.0,8.0,6.0,6.0
167,9.6,10.0,9.6,8.7,9.9,9.9,9.6
168,7.1,8.9,8.0,7.6,8.8,8.7,8.2
169,8.0,9.6,8.8,9.2,9.2,9.6,9.1
17,8.7,9.2,8.9,8.8,9.1,9.2,9.0
170,10.0,10.0,10.0,4.0,10.0,8.0,8.9
171,8.9,9.6,9.7,8.8,8.9,9.6,9.3
172,6.0,8.8,8.0,8.0,9.2,8.4,8.0
173,8.7,9.6,9.2,9.6,9.2,8.5,9.2
174,7.0,8.0,7.0,8.0,9.0,10.0,8.3
175,8.6,9.8,9.3,9.1,9.4,9.2,9.2
176,8.3,9.3,8.9,8.8,9.3,9.2,8.9
177,7.7,8.9,8.1,9.3,8.6,9.2,8.6
178,8.9,8.9,8.9,9.0,9.2,9.3,9.0
179,9.3,9.3,9.2,9.4,9.2,9.6,9.3
18,8.2,8.1,7.7,7.9,9.1,9.0,8.3
180,8.5,9.3,9.0,9.3,9.3,9.4,9.1
181,8.4,9.1,8.3,8.9,9.4,9.7,9.0
182,9.5,9.6,9.2,9.5,9.6,9.7,9.5
183,9.3,9.7,9.2,8.7,9.7,10.0,9.4
184,8.0,10.0,8.0,4.0,10.0,8.0,8.3
185,7.0,8.0,7.0,9.4,8.0,6.9,7.7
186,7.0,6.0,7.7,8.7,7.7,8.0,7.6
187,8.1,8.0,8.1,7.1,8.8,9.8,8.4
188,9.0,9.5,10.0,9.0,9.0,9.5,9.4
189,9.0,10.0,9.8,9.5,10.0,9.7,9.7
19,7.9,6.2,7.0,9.0,8.2,8.0,7.8
190,7.6,8.4,8.4,7.1,8.9,8.9,8.3
191,9.1,9.7,9.3,9.3,9.6,9.5,9.4
192,10.0,9.0,9.0,10.0,9.0,10.0,9.4
193,7.5,9.0,9.0,9.5,8.0,9.0,8.7
194,8.2,8.8,8.5,9.6,9.1,9.0,8.9
195,8.8,8.8,8.8,9.8,9.5,9.5,9.2
196,7.9,9.3,8.8,9.3,9.4,9.7,9.1
197,8.9,9.7,9.6,9.4,9.7,9.7,9.5
198,8.0,9.3,9.3,9.4,9.5,9.4,9.2
199,8.5,8.7,8.5,8.9,9.0,9.2,8.8
2,9.4,9.7,9.5,9.7,9.2,9.7,9.5
20,7.9,9.4,8.3,9.5,9.2,8.9,8.9
200,7.4,8.4,8.4,9.1,8.9,9.0,8.5
201,8.2,9.1,8.9,9.6,9.1,9.3,9.0
202,8.3,9.7,9.7,9.3,8.7,9.3,9.0
203,8.0,8.8,8.8,9.2,9.3,9.8,9.0
204,7.8,9.5,9.1,9.4,9.3,9.1,9.0
